"","Abarema.macradenia","Vachellia.melanoceras","Acalypha.diversifolia","Acalypha.macrostachya","Adelia.triloba","Aegiphila.panamensis","Alchornea.costaricensis","Alchornea.latifolia","Alibertia.edulis","Allophylus.psilospermus","Alseis.blackiana","Amaioua.corymbosa","Anacardium.excelsum","Andira.inermis","Annona.spraguei","Apeiba.glabra","Apeiba.tibourbou","Aspidosperma.desmanthum","Astrocaryum.standleyanum","Astronium.graveolens","Attalea.butyracea","Banara.guianensis","Beilschmiedia.pendula","Brosimum.alicastrum","Brosimum.guianense","Calophyllum.longifolium","Casearia.aculeata","Casearia.arborea","Casearia.commersoniana","Casearia.guianensis","Casearia.sylvestris","Cassipourea.guianensis","Cavanillesia.platanifolia","Cecropia.insignis","Cecropia.obtusifolia","Cedrela.odorata","Ceiba.pentandra","Celtis.schippii","Cespedesia.spathulata","Chamguava.schippii","Chimarrhis.parviflora","Maclura.tinctoria","Chrysochlamys.eclipes","Chrysophyllum.argenteum","Chrysophyllum.cainito","Coccoloba.coronata","Coccoloba.manzinellensis","Colubrina.glandulosa","Cordia.alliodora","Cordia.bicolor","Cordia.lasiocalyx","Coussarea.curvigemma","Croton.billbergianus","Cupania.cinerea","Cupania.latifolia","Cupania.rufescens","Cupania.seemannii","Dendropanax.arboreus","Desmopsis.panamensis","Diospyros.artanthifolia","Dipteryx.oleifera","Drypetes.standleyi","Elaeis.oleifera","Enterolobium.schomburgkii","Erythrina.costaricensis","Erythroxylum.macrophyllum","Eugenia.florida","Eugenia.galalonensis","Eugenia.nesiotica","Eugenia.oerstediana","Faramea.occidentalis","Ficus.colubrinae","Ficus.costaricana","Ficus.insipida","Ficus.maxima","Ficus.obtusifolia","Ficus.popenoei","Ficus.tonduzii","Ficus.trigonata","Ficus.yoponensis","Garcinia.intermedia","Garcinia.madruno","Genipa.americana","Guapira.myrtiflora","Guarea.fuzzy","Guarea.grandifolia","Guarea.guidonia","Guatteria.dumetorum","Guazuma.ulmifolia","Guettarda.foliacea","Gustavia.superba","Hampea.appendiculata","Hasseltia.floribunda","Heisteria.acuminata","Heisteria.concinna","Hirtella.americana","Hirtella.triandra","Hura.crepitans","Hieronyma.alchorneoides","Inga.acuminata","Inga.cocleensis","Inga.goldmanii","Inga.laurina","Inga.semialata","Inga.nobilis","Inga.oerstediana","Inga.pezizifera","Inga.punctata","Inga.ruiziana","Inga.sapindoides","Inga.spectabilis","Inga.umbellifera","Jacaranda.copaia","Lacistema.aggregatum","Lacmellea.panamensis","Laetia.procera","Laetia.thamnia","Lafoensia.punicifolia","Licania.hypoleuca","Licania.platypus","Lindackeria.laurina","Lonchocarpus.heptaphyllus","Luehea.seemannii","Macrocnemum.roseum","Maquira.guianensis.costaricana","Margaritaria.nobilis","Marila.laxiflora","Maytenus.schippii","Miconia.affinis","Miconia.argentea","Miconia.elata","Miconia.hondurensis","Mosannona.garwoodii","Myrcia.gatunensis","Myrospermum.frutescens","Nectandra.cissiflora","Nectandra.lineata","Nectandra.purpurea","Ochroma.pyramidale","Ocotea.cernua","Ocotea.oblonga","Ocotea.puberula","Ocotea.whitei","Oenocarpus.mapora","Ormosia.amazonica","Ormosia.coccinea","Ormosia.macrocalyx","Pachira.quinata","Pachira.sessilis","Perebea.xanthochyma","Cinnamomum.triplinerve","Picramnia.latifolia","Piper.reticulatum","Platymiscium.pinnatum","Platypodium.elegans","Posoqueria.latifolia","Poulsenia.armata","Pourouma.bicolor","Pouteria.fossicola","Pouteria.reticulata","Pouteria.stipitata","Prioria.copaifera","Protium.costaricense","Protium.panamense","Protium.tenuifolium","Pseudobombax.septenatum","Psidium.friedrichsthalianum","Psychotria.grandis","Pterocarpus.rohrii","Quararibea.asterolepis","Quassia.amara","Randia.armata","Sapium.broadleaf","Sapium.glandulosum","Schizolobium.parahyba","Senna.dariensis","Simarouba.amara","Siparuna.guianensis","Siparuna.pauciflora","Sloanea.terniflora","Socratea.exorrhiza","Solanum.hayesii","Sorocea.affinis","Spachea.membranacea","Spondias.mombin","Spondias.radlkoferi","Sterculia.apetala","Swartzia.simplex.var.grandiflora","Swartzia.simplex.continentalis","Symphonia.globulifera","Handroanthus.guayacan","Tabebuia.rosea","Tabernaemontana.arborea","Tachigali.versicolor","Talisia.nervosa","Talisia.princeps","Terminalia.amazonia","Terminalia.oblonga","Tetragastris.panamensis","Tetrathylacium.johansenii","Theobroma.cacao","Thevetia.ahouai","Tocoyena.pittieri","Trattinnickia.aspera","Trema.micrantha","Trichanthera.gigantea","Trichilia.pallida","Trichilia.tuberculata","Trichospermum.galeottii","Triplaris.cumingiana","Trophis.caucana","Trophis.racemosa","Turpinia.occidentalis","Unonopsis.pittieri","Virola.multiflora","Virola.sebifera","Virola.surinamensis","Vismia.baccifera","Vochysia.ferruginea","Xylopia.macrantha","Zanthoxylum.ekmanii","Zanthoxylum.juniperinum","Zanthoxylum.panamense","Zanthoxylum.setulosum","Zuelania.guidonia"
"1",0,0,0,0,0,0,2,0,0,0,25,0,0,0,1,13,2,0,0,6,0,0,4,5,0,0,0,1,0,0,2,2,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,12,8,0,2,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,3,14,0,0,0,1,0,0,0,0,1,0,4,0,3,1,0,2,6,0,1,10,0,5,0,4,0,21,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,6,1,1,0,0,0,0,0,0,7,1,0,4,0,1,2,0,2,0,0,1,1,0,0,0,1,1,0,0,0,1,22,0,0,0,0,0,0,0,0,0,3,2,0,24,5,0,5,0,13,5,2,11,0,0,0,1,11,0,3,0,0,0,0,14,3,0,1,15,0,1,0,1,2,1,3,1,0,1,1,9,6,0,1,1,0,5,0,1,0,0,3,0,0,0,18,0,0,2,1,0,1,0,17,4,0,0,1,3,0,2,0,0
"2",0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,12,0,0,2,0,1,0,5,2,0,2,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,14,6,0,2,0,0,0,2,3,0,1,1,1,0,0,0,1,1,0,0,2,36,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,16,0,5,5,0,9,0,5,0,14,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,10,0,0,1,1,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,3,1,1,16,3,0,7,0,12,4,0,8,0,0,0,0,12,0,2,0,0,0,0,6,2,0,0,22,0,1,0,1,0,2,3,4,1,0,2,5,1,0,0,0,0,7,0,1,0,1,1,0,0,1,27,0,0,0,1,1,5,0,12,3,0,0,0,4,0,2,0,0
"3",0,0,0,0,0,0,2,0,0,0,18,0,0,0,1,6,1,0,1,1,0,0,7,4,0,0,0,3,1,0,0,1,0,7,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,35,6,0,0,0,0,0,1,6,4,1,3,2,0,0,0,0,0,0,1,5,39,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,6,0,1,0,1,4,0,4,0,5,0,0,0,4,1,0,2,1,0,0,0,0,3,0,0,9,0,0,1,1,0,0,0,0,3,0,0,7,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,2,14,0,0,0,0,0,0,1,1,0,5,3,0,28,0,0,3,1,12,1,2,3,0,0,0,0,15,0,1,0,1,0,0,16,1,1,2,31,0,1,0,0,3,0,0,2,1,1,1,6,3,0,0,0,0,10,0,0,0,0,1,0,0,0,28,0,0,0,0,1,12,0,11,2,0,0,0,8,1,2,0,0
"4",0,0,0,0,3,0,18,0,0,0,23,0,0,0,0,3,1,1,5,3,0,0,5,3,0,2,0,2,0,0,0,1,0,17,0,0,0,2,0,0,0,0,0,2,0,1,0,0,7,23,11,1,11,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,39,0,0,0,0,0,0,2,0,0,3,0,0,1,1,0,5,3,1,2,1,0,11,0,6,0,4,0,0,0,6,0,0,4,3,0,0,0,0,2,1,1,2,1,2,0,0,0,0,0,0,9,0,0,7,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,2,2,3,23,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,6,0,5,3,3,9,0,0,0,2,14,0,4,0,0,0,0,8,2,0,2,9,0,1,0,1,3,0,1,2,1,0,2,10,3,0,0,0,0,10,0,0,0,0,0,2,0,1,35,0,0,0,1,4,3,0,16,2,0,0,0,13,1,5,0,1
"5",0,0,0,0,1,1,3,0,0,1,16,0,0,1,0,4,0,1,6,0,0,0,8,2,0,1,0,4,1,0,0,3,0,21,1,0,1,2,0,0,0,0,0,6,0,2,0,0,1,13,7,0,6,0,0,0,3,5,0,0,0,0,0,0,0,0,2,0,0,5,22,0,0,0,0,0,0,1,0,0,2,1,0,1,3,0,3,9,0,1,3,0,9,1,4,0,6,0,0,0,0,2,1,0,1,0,0,0,0,5,0,0,3,1,2,1,0,0,1,0,0,2,1,0,10,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,16,17,0,0,0,0,0,1,1,0,2,1,0,0,25,1,0,5,0,3,7,2,3,0,0,0,1,9,0,2,0,2,0,0,7,0,3,3,55,1,0,0,1,5,0,1,1,2,0,3,16,0,0,0,1,0,7,0,1,0,0,2,1,0,0,15,0,0,2,0,2,4,0,31,6,0,0,0,3,0,5,0,0
"6",0,0,0,0,0,0,2,1,0,0,14,0,0,1,0,10,0,1,2,1,1,0,6,2,0,2,0,1,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,6,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,16,0,0,0,0,0,0,0,0,1,1,0,0,7,0,0,4,7,0,0,1,0,2,1,8,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,1,1,0,4,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,1,3,19,0,0,0,0,0,0,0,0,0,1,2,0,15,0,0,4,0,26,1,1,2,0,0,0,1,3,0,9,0,0,1,0,7,1,0,2,44,0,1,0,0,0,1,9,5,0,1,0,11,1,0,0,1,0,17,0,0,0,0,0,0,0,0,31,0,1,0,0,1,3,2,19,1,0,0,0,1,0,3,0,2
"7",0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,5,0,0,2,2,1,0,5,6,0,2,0,2,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,2,5,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2,38,0,0,0,0,0,1,0,0,1,2,0,1,3,0,0,4,8,0,0,8,0,7,0,2,0,7,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,1,3,0,0,0,0,1,1,4,2,0,3,0,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,20,0,0,0,1,0,0,2,0,0,6,3,0,8,0,0,4,0,18,0,0,6,0,0,0,2,21,0,14,0,0,0,0,13,1,0,1,23,0,0,0,0,5,1,9,7,0,0,1,9,2,0,0,0,0,8,0,0,0,0,0,0,0,1,27,0,0,0,1,0,3,0,8,1,0,0,0,2,0,0,0,0
"8",0,0,0,0,0,0,2,0,0,0,14,0,1,0,1,4,1,0,0,2,0,0,9,4,0,2,1,3,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,2,0,1,2,0,0,10,3,0,4,0,0,0,2,6,0,0,2,0,0,0,0,1,1,1,4,3,41,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,6,0,4,4,0,6,0,5,0,14,1,0,0,6,1,0,4,2,0,0,0,0,1,0,2,8,0,2,1,2,0,1,0,0,2,0,0,4,0,0,0,1,4,0,0,0,0,0,2,0,0,3,0,0,2,1,20,0,0,0,0,0,0,0,1,0,0,3,0,13,1,0,4,0,5,0,3,7,0,0,0,2,7,0,4,0,0,0,0,14,0,0,2,22,0,0,0,1,0,0,5,0,1,0,0,8,0,0,0,0,0,9,0,0,0,0,2,0,0,0,36,0,0,0,0,1,2,0,19,1,0,0,0,4,0,2,0,0
"9",0,0,0,0,5,0,2,0,0,0,16,0,0,1,1,5,0,0,2,0,0,0,11,3,0,2,0,9,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,7,0,1,2,0,0,0,2,1,0,0,1,0,0,0,1,1,1,0,3,3,33,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,1,4,2,3,0,1,0,8,0,1,0,4,1,0,1,2,0,0,0,0,1,0,2,5,0,0,0,1,0,0,0,2,2,1,0,7,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,18,0,0,0,0,0,8,1,0,0,2,1,0,5,1,0,3,0,1,4,0,4,0,0,0,1,4,0,4,0,0,0,0,12,0,1,1,17,0,0,0,0,1,0,5,0,1,0,0,12,3,0,0,0,0,5,0,0,0,0,2,0,0,0,65,0,0,0,0,1,5,0,16,1,0,0,0,13,1,4,0,0
"10",1,0,0,0,0,1,2,0,0,0,14,0,0,0,0,5,0,1,1,0,0,0,14,6,0,0,0,7,0,0,1,1,0,16,2,0,1,0,0,0,0,0,0,2,0,1,0,0,2,13,4,1,0,0,0,0,0,3,1,1,2,0,0,0,0,1,3,0,0,3,42,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,5,2,0,3,4,1,4,0,5,0,7,0,0,0,5,2,0,1,3,0,0,0,0,0,0,1,12,2,0,0,1,0,1,0,2,4,0,0,3,0,0,1,1,0,0,0,1,0,0,5,0,0,0,0,1,2,3,20,0,0,0,0,0,6,0,0,0,0,0,0,24,0,0,0,1,2,4,1,6,0,0,0,0,18,0,1,0,0,0,0,17,0,1,2,12,2,1,0,2,1,0,0,0,0,0,0,10,1,0,0,0,0,6,0,0,0,0,1,0,0,0,46,0,1,0,2,1,9,1,17,2,0,0,4,7,10,4,0,0
"11",0,0,0,0,0,0,10,0,0,0,14,0,1,1,0,2,0,0,3,0,0,0,1,5,0,0,0,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,10,5,0,1,0,0,0,2,2,0,1,0,3,0,0,1,0,1,0,0,6,17,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,3,0,1,2,0,5,0,5,0,12,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,7,0,0,1,1,0,0,1,0,2,4,0,6,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,1,3,17,0,0,0,0,0,0,0,1,1,0,1,0,22,1,0,5,1,26,2,0,4,0,0,0,2,25,0,7,0,0,0,0,7,1,0,1,5,0,1,0,0,1,0,10,5,0,0,0,4,4,0,0,0,0,10,0,0,0,0,0,1,0,2,41,0,1,2,0,1,4,0,6,4,0,0,1,1,0,1,0,0
"12",0,0,0,0,1,1,3,0,0,2,19,0,0,0,0,4,0,0,1,0,0,0,2,4,0,0,0,1,0,0,1,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,3,2,0,0,0,1,2,0,0,0,2,0,0,0,1,1,1,2,1,38,0,0,0,0,0,1,1,0,0,3,0,0,3,1,0,3,2,0,0,3,1,0,0,12,0,6,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,19,0,0,1,0,0,0,1,0,0,0,2,0,8,0,0,4,0,21,0,0,5,0,0,0,2,11,0,2,0,0,0,0,9,0,0,1,8,0,0,0,1,0,0,13,13,1,0,0,6,2,0,0,0,0,10,0,0,0,1,0,1,0,1,46,0,3,0,0,1,0,1,6,2,0,2,0,0,0,0,0,0
"13",0,0,0,0,1,1,1,0,1,1,8,0,0,0,3,1,1,0,12,0,4,0,0,2,0,0,1,0,0,0,1,9,0,1,1,0,2,0,0,0,1,0,0,4,0,1,1,0,2,0,4,4,12,0,0,1,2,5,0,0,0,0,6,0,0,0,2,0,2,11,39,0,0,1,0,0,0,0,0,0,3,0,1,2,0,0,4,0,2,2,10,0,1,0,4,0,11,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,1,0,3,4,4,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,3,0,17,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,5,0,7,0,0,4,0,1,0,2,1,0,15,0,0,0,0,2,0,0,1,0,0,0,0,10,1,3,2,2,0,2,6,12,3,1,0,5,0,6,0,0,0,0,0,0,0,8,35,0,13,0,0,0,0,0,0,0,0,3,1,5,2,0,0,0
"14",0,0,0,0,0,0,4,0,0,0,17,0,0,1,4,5,1,1,5,0,4,0,3,4,0,4,0,4,0,0,0,3,0,11,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,11,7,0,11,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,3,1,31,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,7,1,0,4,0,4,1,0,0,13,0,2,0,3,1,0,1,0,0,0,0,0,4,2,0,12,0,2,1,3,1,0,0,4,3,1,0,0,0,0,0,1,3,0,1,0,1,0,1,0,0,0,1,1,0,1,22,0,0,0,0,0,2,1,1,0,2,1,0,13,0,0,5,1,3,3,4,5,0,0,0,2,10,0,3,0,0,0,0,4,0,0,1,6,0,0,0,1,0,0,3,3,0,1,0,22,0,0,0,2,0,5,0,0,0,0,0,0,0,1,33,0,7,0,1,0,3,0,17,1,0,1,0,12,3,1,0,0
"15",0,0,0,0,2,0,2,0,0,0,15,0,0,0,2,8,0,0,0,0,0,0,9,3,0,0,0,6,0,0,0,0,0,24,0,1,2,1,0,0,0,0,0,1,1,1,0,0,1,21,3,0,1,0,0,0,4,5,0,0,1,0,0,0,1,1,0,0,2,4,31,0,0,0,0,0,0,2,0,0,0,1,0,1,2,2,0,16,1,4,4,0,20,0,3,0,4,0,0,0,2,2,0,8,5,0,0,0,0,1,1,1,23,1,1,0,2,0,1,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,3,1,11,0,0,0,0,0,1,0,0,0,1,2,0,16,0,0,4,0,0,4,0,4,0,0,0,2,8,0,2,0,0,0,0,6,0,2,0,7,1,1,0,0,2,0,1,0,2,1,0,8,5,0,0,0,0,3,0,0,0,0,1,0,0,6,33,0,0,0,0,5,11,0,16,4,0,0,3,5,6,2,0,0
"16",0,0,0,0,2,0,2,0,0,3,25,0,0,0,0,5,0,0,5,0,1,0,4,4,0,1,0,1,0,0,2,1,0,2,0,0,1,2,1,0,0,0,1,2,0,1,0,0,1,11,10,1,3,0,2,0,0,3,0,0,0,2,0,0,1,0,0,0,0,7,27,0,0,0,0,0,0,1,0,0,1,0,2,2,2,0,7,5,1,0,10,0,7,0,2,0,4,3,0,7,0,0,0,6,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,15,0,0,0,0,0,0,1,0,0,1,1,0,32,0,0,3,1,18,1,0,2,0,0,0,1,25,0,3,0,0,0,0,8,1,0,0,1,2,0,0,0,2,0,5,5,1,0,1,11,2,0,0,0,3,6,0,1,0,0,1,0,0,3,25,0,2,0,2,2,1,1,24,5,0,0,1,2,1,0,0,0
"17",0,0,0,0,0,1,2,0,0,2,31,0,0,0,1,1,0,1,1,2,0,0,2,5,0,0,1,0,0,1,0,0,0,3,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,7,3,4,0,0,0,2,3,2,0,1,0,3,0,0,0,0,2,0,2,3,42,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,1,7,0,1,0,13,0,4,0,0,2,2,1,0,0,1,0,0,0,0,1,1,0,4,2,1,1,1,0,0,0,2,5,1,0,2,0,0,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,5,6,25,1,1,2,0,0,0,1,9,0,5,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,6,4,0,1,1,3,1,0,0,0,0,13,0,0,0,0,3,0,0,2,36,0,3,1,0,0,0,0,5,0,0,1,2,1,0,1,0,1
"18",0,0,0,0,1,1,0,0,0,0,7,0,2,0,2,1,1,0,6,0,2,0,0,0,0,4,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,1,0,0,2,0,2,0,2,2,3,6,4,0,0,1,0,2,0,0,0,1,9,0,0,0,2,0,2,4,35,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,2,3,0,2,0,8,0,12,0,2,0,1,2,0,1,1,0,0,0,3,1,0,0,3,0,3,2,0,0,0,0,5,3,5,0,0,0,0,1,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,1,5,0,0,1,0,0,0,3,0,0,10,0,1,0,0,2,1,0,0,0,0,0,0,3,3,2,9,2,0,0,0,10,3,0,0,2,0,11,2,0,0,0,0,0,0,5,23,0,6,0,2,0,0,0,0,2,0,2,1,0,2,1,0,1
"19",0,0,0,0,0,1,1,0,0,1,13,0,0,2,1,13,1,0,2,0,0,0,2,4,0,1,0,4,0,0,1,2,0,8,3,0,0,1,0,0,0,0,0,0,1,0,0,0,5,8,4,3,1,1,0,0,1,3,1,0,1,1,1,1,0,0,2,1,1,6,42,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,3,1,1,6,0,3,0,7,0,24,0,1,0,2,0,1,0,0,0,0,0,0,3,1,1,7,1,4,1,3,4,2,0,3,1,4,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,2,0,1,1,24,0,1,0,0,0,0,0,0,0,2,1,0,4,0,0,10,5,5,0,2,5,0,0,0,1,2,0,2,0,1,0,0,6,0,1,1,3,0,1,0,0,0,1,6,4,0,0,0,9,2,0,0,0,0,9,0,0,0,0,3,1,0,1,44,0,1,0,3,0,4,0,12,1,0,0,1,3,1,3,0,0
