data;Month;P;U;Ff;ff10;VV;Td
01.01.2011;Jan;751.1;90;2;4;4;-6.5
02.01.2011;Jan;754.7;90;0;1;10;-7.2
03.01.2011;Jan;754.5;85;2;4;10;-13.3
04.01.2011;Jan;761.1;86;1;3;10;-8.2
05.01.2011;Jan;767;85;0;NA;10;-9.9
06.01.2011;Jan;766.4;85;0;NA;4;-0.9
07.01.2011;Jan;759.8;90;2;4;2;-3.8
08.01.2011;Jan;752.3;90;1;3;4;-0.2
09.01.2011;Jan;758.1;95;1;2;10;-4.1
10.01.2011;Jan;749.6;98;1;1;2;-2.1
11.01.2011;Jan;745.6;98;0;NA;10;-2.7
12.01.2011;Jan;753.2;92;0;NA;20;-0.3
13.01.2011;Jan;758.2;85;1;2;20;-0.3
14.01.2011;Jan;756.9;85;3;5;20;-0.8
15.01.2011;Jan;762.8;85;2;3;20;0.5
16.01.2011;Jan;768.6;75;1;2;20;0.4
17.01.2011;Jan;761.4;90;4;8;2;-0.3
18.01.2011;Jan;758.8;89;4;7;10;-0.9
19.01.2011;Jan;763.5;90;2;4;10;-4.3
20.01.2011;Jan;770.5;85;2;4;20;-9.9
21.01.2011;Jan;770.8;95;3;6;4;-5.2
22.01.2011;Jan;761.9;91;4;8;20;-4
23.01.2011;Jan;764;93;2;3;10;-2.5
24.01.2011;Jan;750.6;88;2;3;10;-4
25.01.2011;Jan;748.4;90;1;2;20;-9.2
26.01.2011;Jan;753.5;95;1;2;20;-4.4
27.01.2011;Jan;751.6;85;1;2;20;-0.7
28.01.2011;Jan;740.9;94;1;2;10;-4.2
29.01.2011;Jan;746.7;90;1;3;10;-0.1
30.01.2011;Jan;752.6;80;2;4;20;0.3
31.01.2011;Jan;746.3;90;3;5;2;-1.5
01.02.2011;Feb;748.2;85;2;4;10;-2.3
02.02.2011;Feb;752;90;1;1;4;-5.8
03.02.2011;Feb;753.9;85;2;4;20;-4.2
04.02.2011;Feb;751.2;80;2;3;20;-4
05.02.2011;Feb;748.5;70;2;4;20;-1.4
06.02.2011;Feb;752.4;75;0;1;20;-4.5
07.02.2011;Feb;756;76;1;2;10;1.5
08.02.2011;Feb;741.8;85;4;7;4;-0.8
09.02.2011;Feb;752.1;85;2;3;10;-11.5
10.02.2011;Feb;761.8;85;2;4;20;-7
11.02.2011;Feb;756.7;85;1;2;4;-10.6
12.02.2011;Feb;764.6;80;2;4;20;-8.5
13.02.2011;Feb;767.8;85;3;5;20;-11.5
14.02.2011;Feb;773.8;80;3;5;20;-7.7
15.02.2011;Feb;771;80;3;6;20;-6.1
16.02.2011;Feb;773.9;80;3;5;20;-8.5
17.02.2011;Feb;775;80;2;5;20;-11.6
18.02.2011;Feb;773.5;75;2;5;20;1
19.02.2011;Feb;769.6;80;0;1;20;0.5
20.02.2011;Feb;769.6;80;2;3;20;1.7
21.02.2011;Feb;775.6;85;0;NA;20;-4.1
22.02.2011;Feb;774.2;80;2;3;20;-2.6
23.02.2011;Feb;778.4;80;1;1;20;-2.5
24.02.2011;Feb;778;80;1;2;10;4
25.02.2011;Feb;773.3;80;4;7;2;-0.1
26.02.2011;Feb;762.6;87;4;8;20;-7
27.02.2011;Feb;766.7;95;3;6;10;-3.7
28.02.2011;Feb;762.5;89;3;5;2;-2.7
01.03.2011;Mar;771.5;79;1;2;20;6.4
02.03.2011;Mar;764.6;68;1;2;20;0.1
03.03.2011;Mar;744;64;2;6;51;4.5
04.03.2011;Mar;742.6;68;1;2;51;2.5
05.03.2011;Mar;739;80;3;7;20;3.7
06.03.2011;Mar;756.9;69;5;9;20;0.1
07.03.2011;Mar;755.8;82;3;7;20;2
08.03.2011;Mar;752.6;84;3;6;51;2.5
09.03.2011;Mar;746.8;62;4;7;20;2.1
10.03.2011;Mar;741.5;99;4;8;1;1.4
11.03.2011;Mar;745.1;91;5;9;4;0.9
12.03.2011;Mar;739.8;95;3;6;4;0.9
13.03.2011;Mar;755;81;1;2;20;1.8
14.03.2011;Mar;758.4;95;2;5;4;2.2
15.03.2011;Mar;773.8;75;1;3;20;1.2
16.03.2011;Mar;775.9;55;4;6;51;5
17.03.2011;Mar;776;65;2;4;20;5.3
18.03.2011;Mar;771.7;61;4;7;20;3.9
19.03.2011;Mar;764.6;65;4;8;51;0.1
20.03.2011;Mar;763.1;77;1;1;20;-3
21.03.2011;Mar;752.8;68;2;5;10;1.3
22.03.2011;Mar;738.4;82;4;9;20;4.2
23.03.2011;Mar;750.5;46;3;7;51;5.2
24.03.2011;Mar;740.5;61;5;9;10;1.7
25.03.2011;Mar;740.6;77;6;13;4;-0.6
26.03.2011;Mar;744.8;66;1;2;10;2.7
27.03.2011;Mar;744.4;71;2;3;20;7.7
28.03.2011;Mar;746.2;56;3;6;20;5
29.03.2011;Mar;750.7;55;2;4;20;6.4
30.03.2011;Mar;754.5;69;1;2;20;3.7
31.03.2011;Mar;758.2;55;2;3;51;4.8
01.04.2011;Apr;760.6;62;3;5;51;5.7
02.04.2011;Apr;758.9;58;4;7;20;4.6
03.04.2011;Apr;745.6;77;4;9;20;7.1
04.04.2011;Apr;752.4;74;2;4;20;5.3
05.04.2011;Apr;747.4;91;1;2;10;6.2
06.04.2011;Apr;755.8;100;2;5;2;6.4
07.04.2011;Apr;744.8;100;2;4;2;5.8
08.04.2011;Apr;740.2;94;1;2;4;5.9
09.04.2011;Apr;747.1;69;3;5;10;5.5
10.04.2011;Apr;757.7;57;4;8;20;3.7
11.04.2011;Apr;756.7;71;2;4;20;3
12.04.2011;Apr;756.1;83;1;2;10;5.3
13.04.2011;Apr;756.5;81;1;2;20;3
14.04.2011;Apr;757.6;81;2;3;20;0.2
15.04.2011;Apr;754.2;75;2;5;10;0.4
16.04.2011;Apr;745.5;69;3;6;20;4.5
17.04.2011;Apr;743.7;41;3;7;51;5.8
18.04.2011;Apr;745.5;61;6;12;20;11.3
19.04.2011;Apr;760.6;57;4;9;20;9.9
20.04.2011;Apr;760;50;3;6;20;9.3
21.04.2011;Apr;759.8;42;4;8;20;11.2
22.04.2011;Apr;761.2;59;2;3;20;10.9
23.04.2011;Apr;761.7;48;4;11;20;10.3
24.04.2011;Apr;765.5;60;2;5;20;10.4
25.04.2011;Apr;767.2;56;2;4;20;10.4
26.04.2011;Apr;757.6;42;3;6;51;10.7
27.04.2011;Apr;763.4;32;4;8;20;11.7
28.04.2011;Apr;766.6;48;3;6;20;7.6
29.04.2011;Apr;766.6;68;4;8;10;4.3
30.04.2011;Apr;769.8;49;4;8;20;3.2
01.05.2011;May;773;54;2;5;20;2.5
02.05.2011;May;769;57;4;8;20;6.4
03.05.2011;May;763;96;1;2;20;9.2
04.05.2011;May;763;91;3;6;10;9.3
05.05.2011;May;766.9;36;3;6;10;11.1
06.05.2011;May;765.8;99;2;3;2;14.9
07.05.2011;May;770.5;70;3;7;20;12.9
08.05.2011;May;775.4;39;2;4;20;12.2
09.05.2011;May;768.4;69;1;2;20;9.9
10.05.2011;May;773.7;43;3;7;20;9.4
11.05.2011;May;770.6;41;3;7;20;9.4
12.05.2011;May;769.1;54;4;8;20;9.5
13.05.2011;May;769;60;2;4;20;6.5
14.05.2011;May;767.8;41;3;5;20;7.4
15.05.2011;May;764.8;55;4;8;20;5
16.05.2011;May;760.2;52;4;7;10;8
17.05.2011;May;748.6;97;1;3;10;8.9
18.05.2011;May;751.4;70;4;7;20;10.6
19.05.2011;May;757.3;94;4;8;10;8.8
20.05.2011;May;753.8;64;2;5;20;6.5
21.05.2011;May;760.3;74;4;8;20;5.3
22.05.2011;May;760;91;2;4;20;6.2
23.05.2011;May;758.8;54;4;7;20;10.4
24.05.2011;May;751.1;71;3;6;20;9.8
25.05.2011;May;748.5;56;4;8;20;5.6
26.05.2011;May;749.3;55;3;6;51;4.3
27.05.2011;May;760.5;49;2;4;51;2.9
28.05.2011;May;757.9;99;4;7;4;4.3
29.05.2011;May;755.6;77;4;6;20;5.6
30.05.2011;May;751.8;87;3;5;20;4.6
31.05.2011;May;761.7;36;4;7;20;11.2
01.06.2011;Jun;758.2;51;5;10;20;10.4
02.06.2011;Jun;764;76;3;5;51;5.6
03.06.2011;Jun;761.7;74;2;3;20;8.2
04.06.2011;Jun;759;49;4;6;20;10.2
05.06.2011;Jun;760.8;36;5;11;51;15
06.06.2011;Jun;765.4;37;4;7;20;14.5
07.06.2011;Jun;763;39;5;9;20;9.2
08.06.2011;Jun;762.2;54;4;8;20;9.3
09.06.2011;Jun;762.5;50;3;5;20;11.4
10.06.2011;Jun;765.2;57;2;3;10;12.5
11.06.2011;Jun;766;75;3;6;20;16.4
12.06.2011;Jun;765.4;53;4;8;20;12.7
13.06.2011;Jun;764.8;51;2;4;10;14
14.06.2011;Jun;761.2;43;3;6;20;14.6
15.06.2011;Jun;760.4;53;3;4;20;12.6
16.06.2011;Jun;757.8;86;2;3;20;8.9
17.06.2011;Jun;758.4;78;2;4;20;7.8
18.06.2011;Jun;758.4;71;2;4;20;1.5
19.06.2011;Jun;757.8;54;2;4;20;10.4
20.06.2011;Jun;755.6;60;1;3;20;12
21.06.2011;Jun;745;88;5;11;4;11.9
22.06.2011;Jun;751.7;66;5;9;20;15
23.06.2011;Jun;756.4;48;4;8;51;11.3
24.06.2011;Jun;753.9;70;2;5;20;12.2
25.06.2011;Jun;756.2;75;2;4;20;12.2
26.06.2011;Jun;761.4;92;3;5;10;10.2
27.06.2011;Jun;764.5;79;2;4;20;10.2
28.06.2011;Jun;767.2;55;3;5;20;6.2
29.06.2011;Jun;763.1;58;3;6;20;3.8
30.06.2011;Jun;761;45;3;5;20;2.3
01.07.2011;Jul;762.5;61;4;8;10;11.2
02.07.2011;Jul;761.5;95;2;4;4;11.9
03.07.2011;Jul;763.4;51;4;8;20;13.8
04.07.2011;Jul;765.7;49;3;6;20;13.1
05.07.2011;Jul;764.6;42;3;5;20;8.6
06.07.2011;Jul;760.9;54;3;8;20;9.3
07.07.2011;Jul;762.3;78;2;4;20;13.1
08.07.2011;Jul;765.2;72;4;8;10;12.1
09.07.2011;Jul;765.3;68;3;6;20;11.3
10.07.2011;Jul;763.1;53;3;5;20;6.8
11.07.2011;Jul;759.9;66;2;4;20;10.4
12.07.2011;Jul;756.8;44;2;4;20;11.8
13.07.2011;Jul;745.2;89;4;7;20;5.6
14.07.2011;Jul;757.5;69;3;5;20;6.5
15.07.2011;Jul;758.7;34;3;7;51;5.6
16.07.2011;Jul;755.2;46;2;4;20;7.7
17.07.2011;Jul;753;59;2;4;20;8.5
18.07.2011;Jul;758;65;2;3;20;3.4
19.07.2011;Jul;758.6;72;4;7;20;1.5
20.07.2011;Jul;756.7;66;2;4;20;-0.2
21.07.2011;Jul;759.2;55;2;4;20;0
22.07.2011;Jul;757.6;93;2;4;10;3.2
23.07.2011;Jul;761.8;82;2;5;10;11.7
24.07.2011;Jul;761.8;84;1;2;20;9.9
25.07.2011;Jul;758.7;45;5;10;51;10.4
26.07.2011;Jul;764.6;45;3;6;20;5.1
27.07.2011;Jul;763.8;66;2;4;10;1.1
28.07.2011;Jul;762.4;69;1;2;10;-2.7
29.07.2011;Jul;763.7;68;3;6;10;7.4
30.07.2011;Jul;763;65;2;3;20;7.4
01.08.2011;Aug;764.9;51;2;5;20;7
02.08.2011;Aug;766.5;65;3;5;20;12
03.08.2011;Aug;763.3;55;3;5;20;2.1
04.08.2011;Aug;762.4;53;4;9;20;8
05.08.2011;Aug;763;70;2;6;10;8.9
06.08.2011;Aug;756.9;53;1;3;20;5.8
07.08.2011;Aug;753.1;45;3;5;20;-1.4
08.08.2011;Aug;752.3;57;2;3;51;5.6
09.08.2011;Aug;750.9;68;2;4;20;5.5
10.08.2011;Aug;749.5;92;0;NA;10;8.8
11.08.2011;Aug;749.7;96;2;4;20;5.3
12.08.2011;Aug;755.8;75;3;7;20;5.8
13.08.2011;Aug;763.4;52;2;4;20;5.5
14.08.2011;Aug;768.6;51;3;5;51;2.1
15.08.2011;Aug;772.6;56;3;7;20;1.9
16.08.2011;Aug;770.8;75;3;7;20;2.5
17.08.2011;Aug;767.8;59;3;6;20;6.8
18.08.2011;Aug;767;56;3;6;20;1.5
19.08.2011;Aug;766;70;4;7;20;-0.9
20.08.2011;Aug;767;82;0;2;10;-5.6
21.08.2011;Aug;768.2;57;3;5;20;-4.1
22.08.2011;Aug;767;74;2;5;20;-5.4
23.08.2011;Aug;767.3;72;4;6;20;-7.6
24.08.2011;Aug;766.9;67;4;7;20;-6.8
25.08.2011;Aug;766;65;3;6;20;2.5
26.08.2011;Aug;765.4;92;4;8;10;-3.3
27.08.2011;Aug;758.1;66;2;5;20;3
28.08.2011;Aug;755.1;87;4;8;10;3.3
29.08.2011;Aug;747.4;61;3;7;20;-4.7
30.08.2011;Aug;750.8;92;2;5;10;1.5
31.08.2011;Aug;756.3;95;2;3;20;1.3
01.09.2011;Sep;759.8;74;2;5;20;-3.9
02.09.2011;Sep;764.5;61;3;5;51;-5.5
03.09.2011;Sep;765.7;61;3;5;20;-4.8
04.09.2011;Sep;766.4;66;1;3;51;-1
05.09.2011;Sep;763.6;84;3;6;20;-3.3
06.09.2011;Sep;759.2;83;3;7;20;-6.7
07.09.2011;Sep;755.4;86;2;4;10;-1.9
08.09.2011;Sep;753.4;69;5;8;20;-1.6
09.09.2011;Sep;755;80;1;2;20;0.4
10.09.2011;Sep;756.4;77;1;3;20;-2.5
11.09.2011;Sep;757;84;2;4;10;-3
12.09.2011;Sep;757;100;3;6;0.5;-7.3
13.09.2011;Sep;749;79;7;14;20;-3.9
14.09.2011;Sep;739.8;89;4;9;10;-3.5
15.09.2011;Sep;740.4;92;2;5;10;-2
16.09.2011;Sep;748.8;66;3;9;20;-4.1
17.09.2011;Sep;755.6;71;2;6;20;1.4
18.09.2011;Sep;761;58;3;6;51;-0.5
19.09.2011;Sep;766.6;54;3;5;20;-0.4
20.09.2011;Sep;766.3;73;2;3;10;-0.4
21.09.2011;Sep;765.2;71;4;7;20;-1.5
22.09.2011;Sep;760.4;73;3;6;20;-4.3
23.09.2011;Sep;748.5;95;3;7;10;-4.5
24.09.2011;Sep;750.6;85;3;6;20;-1.2
25.09.2011;Sep;757.4;77;4;7;20;0.8
26.09.2011;Sep;763;76;2;3;10;1
27.09.2011;Sep;757.2;80;4;8;20;1.4
28.09.2011;Sep;756.4;82;2;4;20;2.1
29.09.2011;Sep;758;84;1;3;20;-0.2
30.09.2011;Sep;748.2;79;3;6;20;2.3
01.10.2011;Oct;766.6;68;3;7;51;-6.7
02.10.2011;Oct;760.5;93;5;9;20;-7.5
03.10.2011;Oct;755.5;91;1;2;20;-9.8
04.10.2011;Oct;749.1;97;2;4;10;-12.5
05.10.2011;Oct;737.4;88;1;2;20;-11.5
06.10.2011;Oct;740.1;91;1;2;20;-10.2
07.10.2011;Oct;729.2;83;5;11;20;-10.6
08.10.2011;Oct;739.2;74;5;11;20;-12.5
09.10.2011;Oct;758.2;67;3;5;10;-9.2
10.10.2011;Oct;751.2;85;5;9;10;-11.3
11.10.2011;Oct;741;97;5;10;4;-11.9
12.10.2011;Oct;741;95;1;2;20;1.2
13.10.2011;Oct;759.2;80;3;6;10;-5
14.10.2011;Oct;769.6;69;4;9;20;-6.4
15.10.2011;Oct;765.8;90;2;4;10;-8.4
16.10.2011;Oct;758.8;97;0;1;2;-11.6
17.10.2011;Oct;756.4;99;2;4;2;-10
18.10.2011;Oct;753.2;95;2;3;20;-12.5
19.10.2011;Oct;745.2;80;6;12;20;-7.4
20.10.2011;Oct;741.8;73;4;8;51;-11.6
21.10.2011;Oct;744.8;77;3;7;20;-4.6
22.10.2011;Oct;753;76;3;6;20;-1.5
23.10.2011;Oct;767;89;2;4;10;-2.5
24.10.2011;Oct;766.7;98;2;5;4;-1.6
25.10.2011;Oct;767.6;99;2;3;10;-5.7
26.10.2011;Oct;772;90;2;3;20;-3.6
27.10.2011;Oct;772;93;1;2;4;-10.2
28.10.2011;Oct;767.1;92;1;1;20;-9.5
29.10.2011;Oct;750.2;97;3;5;2;-5.3
30.10.2011;Oct;753;100;3;5;20;-7.4
31.10.2011;Oct;749.4;97;2;5;20;-3.1
01.11.2011;Nov;758;84;4;8;10;-4.9
02.11.2011;Nov;746.4;95;4;7;10;-8.7
03.11.2011;Nov;761.8;77;2;4;20;-4.1
04.11.2011;Nov;769.4;89;0;1;10;-1.4
05.11.2011;Nov;774.6;58;7;13;20;-11.6
06.11.2011;Nov;771.2;94;4;8;10;-25
07.11.2011;Nov;759.8;99;2;5;10;-27.4
08.11.2011;Nov;757.1;63;3;7;51;-22.6
09.11.2011;Nov;769.4;80;1;2;20;-19.6
10.11.2011;Nov;766.4;96;1;3;4;-14
11.11.2011;Nov;774.8;96;1;1;20;-19.2
12.11.2011;Nov;773.7;98;1;2;20;-24.5
13.11.2011;Nov;764;100;1;1;20;-21.4
14.11.2011;Nov;752.9;48;3;8;51;-24.2
15.11.2011;Nov;756.5;59;5;11;20;-22.8
16.11.2011;Nov;755.6;95;1;2;20;-16.6
17.11.2011;Nov;754.7;89;2;3;20;-16.6
18.11.2011;Nov;755;90;1;2;20;-21.7
19.11.2011;Nov;754.3;88;0;NA;20;-21
20.11.2011;Nov;763;89;1;3;20;-19.9
21.11.2011;Nov;760.5;92;2;4;51;-17.2
22.11.2011;Nov;767.2;87;1;2;2;-12.4
23.11.2011;Nov;763.4;96;3;5;20;-16.6
24.11.2011;Nov;746.5;96;4;7;10;-30.4
25.11.2011;Nov;748.9;94;1;2;51;-28.2
26.11.2011;Nov;728.2;78;4;8;20;-19.7
27.11.2011;Nov;730.6;95;1;1;51;-16.5
28.11.2011;Nov;735.2;94;2;3;20;-14.1
29.11.2011;Nov;755.3;93;2;5;20;-11.6
30.11.2011;Nov;749.6;98;6;11;10;-13
01.12.2011;Dec;750.8;85;3;5;20;-13.7
02.12.2011;Dec;740.5;96;5;11;20;-24
03.12.2011;Dec;735.4;96;1;2;20;-12.1
04.12.2011;Dec;740;87;5;10;20;-4.3
05.12.2011;Dec;730.5;98;3;7;4;-18.2
06.12.2011;Dec;735.9;85;3;5;20;-8.4
07.12.2011;Dec;743.8;92;1;2;10;-16.4
08.12.2011;Dec;754.7;89;1;2;20;-12.4
09.12.2011;Dec;758.9;91;4;7;20;-8.5
10.12.2011;Dec;752.8;82;4;8;20;-7.6
11.12.2011;Dec;745.4;91;1;2;10;-8
12.12.2011;Dec;750.6;89;1;2;20;-17.7
13.12.2011;Dec;751.4;96;4;9;2;-9.3
14.12.2011;Dec;750.2;90;5;11;20;-10.2
15.12.2011;Dec;750.7;92;4;8;10;-13.5
16.12.2011;Dec;745.6;94;3;6;20;-32.6
17.12.2011;Dec;750.8;98;1;2;10;-13.4
18.12.2011;Dec;753.8;94;2;4;4;-15.2
19.12.2011;Dec;749;98;3;6;2;-14.1
20.12.2011;Dec;749.8;100;2;3;4;-9.4
21.12.2011;Dec;756.1;98;0;1;20;-2.3
22.12.2011;Dec;759.2;96;1;2;20;-2.9
23.12.2011;Dec;755.2;86;4;7;20;-9.7
24.12.2011;Dec;742.9;92;4;7;20;-12.5
25.12.2011;Dec;746.2;93;3;6;20;-12.3
26.12.2011;Dec;731.6;96;2;3;20;-22.1
27.12.2011;Dec;732.5;92;1;1;10;-29.8
28.12.2011;Dec;743.2;80;2;5;20;-27.7
29.12.2011;Dec;745;90;0;1;50;-22.1
30.12.2011;Dec;744.8;87;3;5;20;-16.1
31.12.2011;Dec;749.8;78;3;6;20;-18.1
